"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 29 14:11:58 BDT 2025","Sat Mar 29 14:12:02 BDT 2025","4561","","Login page","","Login button validation","","Login button validation",""
"passed","Sat Mar 29 14:12:09 BDT 2025","Sat Mar 29 14:12:15 BDT 2025","6104","","Login page","","Login with valid credentials","","Login with valid credentials",""
"passed","Sat Mar 29 14:12:02 BDT 2025","Sat Mar 29 14:12:09 BDT 2025","6399","","Login page","","Login with valid credentials","","Login with valid credentials",""
"passed","Sat Mar 29 14:13:47 BDT 2025","Sat Mar 29 14:13:59 BDT 2025","12250","","Product Page Validation","","Adding products to the cart","","Adding products to the cart",""
"passed","Sat Mar 29 14:13:22 BDT 2025","Sat Mar 29 14:13:28 BDT 2025","5428","","Login page","","Login with invalid credentials","","Login with invalid credentials",""
"passed","Sat Mar 29 14:11:25 BDT 2025","Sat Mar 29 14:11:57 BDT 2025","32585","","Login page","","UI validation","","UI validation",""
"passed","Sat Mar 29 14:14:38 BDT 2025","Sat Mar 29 14:14:47 BDT 2025","9589","","Product Page Validation","","Validate all products are shown in Ascending order when select Name (A to Z)","","Validate all products are shown in Ascending order when select Name (A to Z)",""
"passed","Sat Mar 29 15:16:37 BDT 2025","Sat Mar 29 15:16:39 BDT 2025","2631","","Login page","","Login button validation","","Login button validation",""
"passed","Sat Mar 29 14:13:10 BDT 2025","Sat Mar 29 14:13:15 BDT 2025","5157","","Login page","","Login with invalid credentials","","Login with invalid credentials",""
"passed","Sat Mar 29 14:12:15 BDT 2025","Sat Mar 29 14:12:27 BDT 2025","12766","","Login page","","Login with valid credentials","","Login with valid credentials",""
"passed","Sat Mar 29 14:12:58 BDT 2025","Sat Mar 29 14:13:03 BDT 2025","5207","","Login page","","Login with invalid credentials","","Login with invalid credentials",""
"passed","Sat Mar 29 00:36:53 BDT 2025","Sat Mar 29 00:36:56 BDT 2025","3122","","Login page","","Login with valid credentials","","Login with valid credentials",""
"passed","Sat Mar 29 14:13:03 BDT 2025","Sat Mar 29 14:13:10 BDT 2025","7283","","Login page","","Login with invalid credentials","","Login with invalid credentials",""
"passed","Sat Mar 29 14:14:47 BDT 2025","Sat Mar 29 14:14:57 BDT 2025","9297","","Product Page Validation","","Validate all products are shown in Descending order when select Price (low to high)","","Validate all products are shown in Descending order when select Price (low to high)",""
"passed","Sat Mar 29 15:16:39 BDT 2025","Sat Mar 29 15:16:43 BDT 2025","3249","","Product Page Validation","","UI Validation","","UI Validation",""
"passed","Sat Mar 29 14:12:50 BDT 2025","Sat Mar 29 14:12:58 BDT 2025","7972","","Login page","","Login with invalid credentials","","Login with invalid credentials",""
"passed","Sat Mar 29 14:13:28 BDT 2025","Sat Mar 29 14:13:36 BDT 2025","8666","","Login page","","Login with invalid credentials","","Login with invalid credentials",""
"passed","Sat Mar 29 14:12:27 BDT 2025","Sat Mar 29 14:12:34 BDT 2025","6144","","Login page","","Login with valid credentials","","Login with valid credentials",""
"passed","Sat Mar 29 14:12:34 BDT 2025","Sat Mar 29 14:12:42 BDT 2025","8521","","Login page","","Login with valid credentials","","Login with valid credentials",""
"passed","Sat Mar 29 14:14:20 BDT 2025","Sat Mar 29 14:14:28 BDT 2025","7584","","Product Page Validation","","Product sort option should be selected A to Z by default","","Product sort option should be selected A to Z by default",""
"passed","Sat Mar 29 14:13:15 BDT 2025","Sat Mar 29 14:13:22 BDT 2025","6903","","Login page","","Login with invalid credentials","","Login with invalid credentials",""
"passed","Sat Mar 29 14:57:23 BDT 2025","Sat Mar 29 14:57:57 BDT 2025","34161","","Login page","","Checking error message remove button","","Checking error message remove button",""
"passed","Sat Mar 29 14:12:42 BDT 2025","Sat Mar 29 14:12:50 BDT 2025","7623","","Login page","","Login with invalid credentials","","Login with invalid credentials",""
"passed","Sat Mar 29 14:14:28 BDT 2025","Sat Mar 29 14:14:38 BDT 2025","9947","","Product Page Validation","","Validate all products are shown in Descending order when select Name (Z to A)","","Validate all products are shown in Descending order when select Name (Z to A)",""
"passed","Sat Mar 29 14:13:36 BDT 2025","Sat Mar 29 14:13:47 BDT 2025","10074","","Product Page Validation","","UI Validation","","UI Validation",""
"passed","Sat Mar 29 15:16:29 BDT 2025","Sat Mar 29 15:16:37 BDT 2025","7708","","Login page","","UI validation","","UI validation",""
"passed","Sat Mar 29 14:14:57 BDT 2025","Sat Mar 29 14:15:05 BDT 2025","7990","","Product Page Validation","","Validate all products are shown in Descending order when select Price (high to low)","","Validate all products are shown in Descending order when select Price (high to low)",""
"passed","Sat Mar 29 14:13:59 BDT 2025","Sat Mar 29 14:14:20 BDT 2025","21317","","Product Page Validation","","Adding and removing items from cart","","Adding and removing items from cart",""
